
The state rankings were created by simply aggregating the hospital ratings for each state and ordering the states from best to worst.  I also included a "variability"
along with the average score to allow a sense of whether or not the difference between the states were significant (typically not).

Here were the top 10...


state   m       r       s       c       statescore      variability     standev n
SD      0.11096605744125326     9.594594594594597       -26.044386422976505     4.642857142857141       -0.7797312418722337     0.7829674162894694      3.032419763912165       15
ID      -0.6697127937336813     12.45945945945946       -40.79634464751958      8.07142857142857        -1.6103976469511718     0.8379557806578779      3.021292533733434       13
WI      0.17624020887728448     16.35135135135136       -148.62924281984337     22.50000000000002       -1.6861792501479185     0.32292227025944986     2.6034825754974076      65
LA      -0.2245430809399479     -5.837837837837821      -127.93733681462135     -5.5714285714285765     -1.9384881431226084     0.3558592346650792      3.0195657357543886      72
ME      0.10835509138381198     8.081081081081084       -50.71801566579634      8.357142857142856       -2.0100845080110936     0.683840446338421       2.819546391322836       17
KS      -0.8407310704960823     5.89189189189189        -104.17754569190599     6.714285714285708       -2.100274980823284      0.4519939723793653      2.9981888277692335      44
IN      0.41906005221932097     12.513513513513532      -219.5169712793734      16.357142857142847      -2.407939934892376      0.3465568152523286      3.080264350608417       79
NE      -0.5535248041775451     6.162162162162166       -68.1462140992167       1.7142857142857137      -2.5343037927894323     0.5997992547350736      2.938404244405114       24
CO      -0.45039164490861644    15.270270270270274      -144.06005221932114     13.928571428571423      -2.5624800481197347     0.34650183527768647     2.3244049740280253      45
MT      -0.537859007832898      7.135135135135135       -38.77284595300261      0.8571428571428569      -2.6098689140464595     0.7188477153716388      2.490161531856979       12
Time taken: 97.718 seconds, Fetched: 10 row(s)
